silly_source,silly,fish_id,dwp_barcode,dwp_well,tissue_type,sample_date,sex,hatchery,otolith_mark_present,otolith_mark_id
PSTOCK16_5620,PSTOCK16,5620,0000015857,46,Heart-bulbus arteriosus,2016-09-08,F,AFK,YES,AFK14B
PSTOCK16_7691,PSTOCK16,7691,0000015876,35,Heart-bulbus arteriosus,2016-09-10,M,AFK,YES,AFK14B
PSTOCK16_8049,PSTOCK16,8049,0000014532,9,Heart-bulbus arteriosus,2016-08-21,F,WNH,YES,WNH14PINKB
PSTOCK16_8407,PSTOCK16,8407,0000015841,31,Heart-bulbus arteriosus,2016-09-08,F,AFK,YES,AFK14B
PSTOCK16_1833,PSTOCK16,1833,0000015862,33,Heart-bulbus arteriosus,2016-09-09,F,AFK,YES,AFK14B
PSTOCK16_1997,PSTOCK16,1997,0000015785,5,Heart-bulbus arteriosus,2016-09-04,F,AFK,YES,AFK14B
PSTOCK16_3067,PSTOCK16,3067,0000014678,1,Heart-bulbus arteriosus,2016-08-26,F,AFK,YES,AFK14B
PSTOCK16_4543,PSTOCK16,4543,0000014593,4,Heart-bulbus arteriosus,2016-08-29,F,AFK,YES,AFK14B
PSTOCK16_5781,PSTOCK16,5781,0000014635,15,Heart-bulbus arteriosus,2016-09-02,F,AFK,YES,AFK14B
PSTOCK16_6793,PSTOCK16,6793,0000015865,41,Heart-bulbus arteriosus,2016-09-09,F,AFK,YES,AFK14B
PSTOCK16_8040,PSTOCK16,8040,0000015807,48,Heart-bulbus arteriosus,2016-09-06,F,AFK,YES,AFK14B
PSTOCK16_1948,PSTOCK16,1948,0000015786,4,Heart-bulbus arteriosus,2016-09-04,M,AFK,YES,AFK14B
PSTOCK16_2671,PSTOCK16,2671,0000014567,37,Heart-bulbus arteriosus,2016-08-27,M,AFK,YES,AFK14B
PSTOCK16_2680,PSTOCK16,2680,0000014567,46,Heart-bulbus arteriosus,2016-08-27,M,AFK,YES,AFK14B
PSTOCK16_4077,PSTOCK16,4077,0000014564,5,Heart-bulbus arteriosus,2016-08-27,M,AFK,YES,AFK14B
PSTOCK16_5657,PSTOCK16,5657,0000014622,35,Heart-bulbus arteriosus,2016-08-31,M,AFK,YES,AFK14B
PSTOCK16_5767,PSTOCK16,5767,0000014635,1,Heart-bulbus arteriosus,2016-09-02,M,AFK,YES,AFK14B
PSTOCK16_7645,PSTOCK16,7645,0000015877,37,Heart-bulbus arteriosus,2016-09-10,M,AFK,YES,AFK14B
PSTOCK16_8698,PSTOCK16,8698,0000015789,18,Heart-bulbus arteriosus,2016-09-04,M,AFK,YES,AFK14B
