dna_plate_id,dna_plate_well,silly,fish_id,tissue_type,sex,origin,date,comment,silly_source,sample,dwp_barcode,dwp_well,length_mm_meh,otolith_mark_present,otolith_mark_id,hatchery,intertidal
63218,G1,PHOGAN15,5704,Heart-bulbus arteriosus,male,hatchery,2015-09-05T00:00:00Z,NA,PHOGAN15_5704,0000002525_15,0000002525,15,394,YES,AFK13B,AFK,Intertidal
63218,H1,PHOGAN15,5877,Heart-bulbus arteriosus,female,natural,2015-09-08T00:00:00Z,NA,PHOGAN15_5877,0000002794_44,0000002794,44,375,NO,NA,NA,Intertidal
63218,A2,PHOGAN15,6008,Heart-bulbus arteriosus,female,hatchery,2015-09-08T00:00:00Z,NA,PHOGAN15_6008,0000002797_31,0000002797,31,400,YES,WNH13PINKB,WNH,Intertidal
63218,B2,PHOGAN15,6167,Heart-bulbus arteriosus,female,hatchery,2015-09-08T00:00:00Z,NA,PHOGAN15_6167,0000002800_46,0000002800,46,418,YES,AFK13B,AFK,Intertidal
63218,C2,PHOGAN15,6248,Heart-bulbus arteriosus,female,hatchery,2015-09-08T00:00:00Z,NA,PHOGAN15_6248,0000002802_31,0000002802,31,390,YES,WNH13PINKB,WNH,Intertidal
63218,D2,PHOGAN15,6288,Heart-bulbus arteriosus,male,hatchery,2015-09-08T00:00:00Z,NA,PHOGAN15_6288,0000002803_23,0000002803,23,364,YES,WNH13PINKB,WNH,Upstream
63218,E2,PHOGAN15,6377,Heart-bulbus arteriosus,male,hatchery,2015-09-08T00:00:00Z,NA,PHOGAN15_6377,0000002805_16,0000002805,16,383,YES,WNH13PINKB,WNH,Upstream
63218,F2,PHOGAN15,6637,Heart-bulbus arteriosus,male,hatchery,2015-09-08T00:00:00Z,NA,PHOGAN15_6637,0000002810_36,0000002810,36,407,YES,AFK13B,AFK,Intertidal
63218,G2,PHOGAN15,6825,Heart-bulbus arteriosus,male,hatchery,2015-09-11T00:00:00Z,NA,PHOGAN15_6825,0000002849_32,0000002849,32,394,YES,WNH13PINKB,WNH,Intertidal
63218,H2,PHOGAN15,6867,Heart-bulbus arteriosus,male,hatchery,2015-09-11T00:00:00Z,NA,PHOGAN15_6867,0000002850_26,0000002850,26,376,YES,AFK13B,AFK,Intertidal
63218,A3,PHOGAN15,6885,Heart-bulbus arteriosus,female,natural,2015-09-11T00:00:00Z,NA,PHOGAN15_6885,0000002850_44,0000002850,44,366,NO,NA,NA,Intertidal
63218,B3,PHOGAN15,7024,Heart-bulbus arteriosus,female,hatchery,2015-09-11T00:00:00Z,NA,PHOGAN15_7024,0000002853_39,0000002853,39,393,YES,AFK13B,AFK,Intertidal
63218,C3,PHOGAN15,7115,Heart-bulbus arteriosus,female,hatchery,2015-09-11T00:00:00Z,NA,PHOGAN15_7115,0000002855_34,0000002855,34,420,YES,WNH13PINKB,WNH,Intertidal
63218,D3,PHOGAN15,7294,Heart-bulbus arteriosus,male,hatchery,2015-09-11T00:00:00Z,NA,PHOGAN15_7294,0000002859_21,0000002859,21,369,YES,WNH13PINKB,WNH,Intertidal
63218,E3,PHOGAN15,7470,Heart-bulbus arteriosus,male,hatchery,2015-09-11T00:00:00Z,NA,PHOGAN15_7470,0000002863_5,0000002863,5,404,YES,AFK13B,AFK,Intertidal
63218,F3,PHOGAN15,7485,Heart-bulbus arteriosus,male,hatchery,2015-09-11T00:00:00Z,NA,PHOGAN15_7485,0000002863_20,0000002863,20,366,YES,AFK13B,AFK,Intertidal
63218,G3,PHOGAN15,8043,Heart-bulbus arteriosus,female,hatchery,2015-09-14T00:00:00Z,NA,PHOGAN15_8043,0000002950_2,0000002950,2,390,YES,AFK13B,AFK,Upstream
63218,H3,PHOGAN15,8447,Heart-bulbus arteriosus,male,hatchery,2015-09-17T00:00:00Z,NA,PHOGAN15_8447,0000002983_6,0000002983,6,378,YES,AFK13B,AFK,Intertidal
63218,A4,PHOGAN15,8554,Heart-bulbus arteriosus,female,hatchery,2015-09-17T00:00:00Z,NA,PHOGAN15_8554,0000002985_17,0000002985,17,378,YES,AFK13B,AFK,Intertidal
63218,B4,PHOGAN15,8687,Heart-bulbus arteriosus,male,hatchery,2015-09-17T00:00:00Z,NA,PHOGAN15_8687,0000002988_6,0000002988,6,387,YES,WNH13PINKB,WNH,Intertidal
63218,C4,PHOGAN15,8725,Heart-bulbus arteriosus,female,hatchery,2015-09-17T00:00:00Z,NA,PHOGAN15_8725,0000002988_44,0000002988,44,382,YES,AFK13B,AFK,Intertidal
63218,D4,PHOGAN15,8901,Heart-bulbus arteriosus,female,hatchery,2015-09-17T00:00:00Z,NA,PHOGAN15_8901,0000003691_28,0000003691,28,380,YES,WNH13PINKB,WNH,Upstream
63218,E4,PHOGAN15,9302,Heart-bulbus arteriosus,female,hatchery,2015-09-23T00:00:00Z,NA,PHOGAN15_9302,0000003702_37,0000003702,37,393,YES,AFK13B,AFK,Intertidal
63218,F4,PSPRIN14,129,Heart-bulbus arteriosus,male,natural,2014-08-20T00:00:00Z,updated 10/14/22,PSPRIN14_129,1400000787_3,1400000787,3,394,NO,NA,NA,NA
63218,G4,PSPRIN14,130,Heart-bulbus arteriosus,female,natural,2014-08-20T00:00:00Z,updated 10/14/22,PSPRIN14_130,1400000787_4,1400000787,4,435,NO,NA,NA,NA
63218,H4,PSPRIN14,135,Heart-bulbus arteriosus,female,natural,2014-08-20T00:00:00Z,updated 10/14/22,PSPRIN14_135,1400000787_9,1400000787,9,435,NO,NA,NA,NA
63218,A5,PSPRIN14,138,Heart-bulbus arteriosus,male,natural,2014-08-20T00:00:00Z,updated 10/14/22,PSPRIN14_138,1400000787_12,1400000787,12,400,NO,NA,NA,NA
63218,B5,PSPRIN14,139,Heart-bulbus arteriosus,female,natural,2014-08-20T00:00:00Z,updated 10/14/22,PSPRIN14_139,1400000787_13,1400000787,13,410,NO,NA,NA,NA
63218,C5,PSPRIN14,140,Heart-bulbus arteriosus,male,natural,2014-08-20T00:00:00Z,updated 10/14/22,PSPRIN14_140,1400000787_14,1400000787,14,405,NO,NA,NA,NA
63218,D5,PSPRIN14,141,Heart-bulbus arteriosus,male,natural,2014-08-20T00:00:00Z,updated 10/14/22,PSPRIN14_141,1400000787_15,1400000787,15,384,NO,NA,NA,NA
63218,E5,PSPRIN14,142,Heart-bulbus arteriosus,male,natural,2014-08-20T00:00:00Z,updated 10/14/22,PSPRIN14_142,1400000787_16,1400000787,16,385,NO,NA,NA,NA
63218,F5,PSPRIN14,143,Heart-bulbus arteriosus,male,natural,2014-08-20T00:00:00Z,updated 10/14/22,PSPRIN14_143,1400000787_17,1400000787,17,404,NO,NA,NA,NA
63218,G5,PSPRIN14,145,Heart-bulbus arteriosus,male,natural,2014-08-20T00:00:00Z,updated 10/14/22,PSPRIN14_145,1400000787_19,1400000787,19,405,NO,NA,NA,NA
63218,H5,PSPRIN14,147,Heart-bulbus arteriosus,male,natural,2014-08-20T00:00:00Z,updated 10/14/22,PSPRIN14_147,1400000787_21,1400000787,21,460,NO,NA,NA,NA
63218,A6,PSPRIN14,148,Heart-bulbus arteriosus,female,natural,2014-08-20T00:00:00Z,updated 10/14/22,PSPRIN14_148,1400000787_22,1400000787,22,405,NO,NA,NA,NA
63218,B6,PSPRIN14,150,Heart-bulbus arteriosus,female,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_150,1300001616_1,1300001616,1,425,NO,NA,NA,NA
63218,C6,PSPRIN14,151,Heart-bulbus arteriosus,male,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_151,1300001616_2,1300001616,2,410,NO,NA,NA,NA
63218,D6,PSPRIN14,152,Heart-bulbus arteriosus,male,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_152,1300001616_3,1300001616,3,408,NO,NA,NA,NA
63218,E6,PSPRIN14,154,Heart-bulbus arteriosus,male,natural,2014-08-14T00:00:00Z,updated 10/14/22,PSPRIN14_154,1300001616_5,1300001616,5,429,NO,NA,NA,NA
