dna_plate_id,dna_plate_well,silly_source,silly_indiv,fish_id_indiv,tissue_type,sex_indiv,origin_indiv,date,comment,sample,silly_paired,fish_id_paired,dwp_barcode,dwp_well,sample_date,sex_paired,length_mm_meh,origin_paired,otolith_mark_present,otolith_mark_id,hatchery,intertidal
63213,A11,PDUCK14E_9,PDUCK14E,9,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,B11,PDUCK14E_10,PDUCK14E,10,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,C11,PDUCK14E_12,PDUCK14E,12,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,D11,PDUCK14E_13,PDUCK14E,13,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,E11,PDUCK14E_14,PDUCK14E,14,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,F11,PDUCK14E_15,PDUCK14E,15,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,G11,PDUCK14E_16,PDUCK14E,16,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,H11,PDUCK14E_17,PDUCK14E,17,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,A12,PDUCK14E_22,PDUCK14E,22,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,B12,PDUCK14E_23,PDUCK14E,23,Axillary Process,female,natural,2014-08-04,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,C12,PDUCK14L_1,PDUCK14L,1,Heart,female,natural,2014-09-09,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,D12,PDUCK14L_2,PDUCK14L,2,Heart,female,natural,2014-09-09,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,E12,PDUCK14L_3,PDUCK14L,3,Heart,female,natural,2014-09-09,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,F12,PDUCK14L_4,PDUCK14L,4,Heart,female,natural,2014-09-09,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,G12,PDUCK14L_5,PDUCK14L,5,Heart,female,natural,2014-09-09,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,E5,PVFDA15_1,PVFDA15,1,Axillary Process,male,hatchery,2015-08-06,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,F5,PVFDA15_2,PVFDA15,2,Axillary Process,male,hatchery,2015-08-06,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,G5,PVFDA15_3,PVFDA15,3,Axillary Process,male,hatchery,2015-08-06,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,H5,PVFDA15_4,PVFDA15,4,Axillary Process,male,hatchery,2015-08-06,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,A6,PVFDA15_5,PVFDA15,5,Axillary Process,male,hatchery,2015-08-06,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,B6,PVFDA15_6,PVFDA15,6,Axillary Process,male,hatchery,2015-08-06,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,C6,PVFDA15_7,PVFDA15,7,Axillary Process,male,hatchery,2015-08-06,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,D6,PVFDA15_8,PVFDA15,8,Axillary Process,male,hatchery,2015-08-06,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,E6,PVFDA15_9,PVFDA15,9,Axillary Process,male,hatchery,2015-08-06,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,F6,PVFDA15_51,PVFDA15,51,Axillary Process,female,hatchery,2015-08-06,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,G6,PVFDA15_52,PVFDA15,52,Axillary Process,female,hatchery,2015-08-06,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,H6,PVFDA15_53,PVFDA15,53,Axillary Process,female,hatchery,2015-08-06,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63213,A7,PVFDA15_54,PVFDA15,54,Axillary Process,female,hatchery,2015-08-06,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
