Lab Project ID,Plate ID,Silly Code,Fish,Well,Tissue Type
2666,63215,PSTOCK16,878,E4,Heart-bulbus arteriosus
2666,63215,PSTOCK16,983,F4,Heart-bulbus arteriosus
2666,63215,PSTOCK16,1038,G4,Heart-bulbus arteriosus
2666,63215,PSTOCK16,1085,H4,Heart-bulbus arteriosus
2666,63215,PSTOCK16,1193,A5,Heart-bulbus arteriosus
2666,63215,PSTOCK16,1220,B5,Heart-bulbus arteriosus
2666,63215,PSTOCK16,1321,C5,Heart-bulbus arteriosus
2666,63215,PSTOCK16,1523,F6,Heart-bulbus arteriosus
2666,63215,PSTOCK16,1799,D5,Heart-bulbus arteriosus
2666,63215,PSTOCK16,1833,E5,Heart-bulbus arteriosus
2666,63215,PSTOCK16,1948,F5,Heart-bulbus arteriosus
2666,63215,PSTOCK16,1997,G5,Heart-bulbus arteriosus
2666,63215,PSTOCK16,2018,H5,Heart-bulbus arteriosus
2666,63215,PSTOCK16,2441,A6,Heart-bulbus arteriosus
2666,63215,PSTOCK16,2452,B6,Heart-bulbus arteriosus
2666,63215,PSTOCK16,2560,C6,Heart-bulbus arteriosus
2666,63215,PSTOCK16,2588,D6,Heart-bulbus arteriosus
2666,63215,PSTOCK16,2764,G6,Heart-bulbus arteriosus
2666,63215,PSTOCK16,2788,H6,Heart-bulbus arteriosus
2666,63215,PSTOCK16,2813,A7,Heart-bulbus arteriosus
2666,63215,PSTOCK16,2836,C7,Heart-bulbus arteriosus
2666,63215,PSTOCK16,2958,C8,Heart-bulbus arteriosus
2666,63215,PSTOCK16,2968,B7,Heart-bulbus arteriosus
2666,63215,PSTOCK16,3121,D7,Heart-bulbus arteriosus
2666,63215,PSTOCK16,3211,E7,Heart-bulbus arteriosus
2666,63215,PSTOCK16,3219,F7,Heart-bulbus arteriosus
2666,63215,PSTOCK16,3330,G7,Heart-bulbus arteriosus
2666,63215,PSTOCK16,3400,H7,Heart-bulbus arteriosus
2666,63215,PSTOCK16,3438,A8,Heart-bulbus arteriosus
2666,63215,PSTOCK16,3482,B8,Heart-bulbus arteriosus
2666,63215,PSTOCK16,4077,E8,Heart-bulbus arteriosus
2666,63215,PSTOCK16,4138,F8,Heart-bulbus arteriosus
2666,63215,PSTOCK16,4319,G8,Heart-bulbus arteriosus
2666,63215,PSTOCK16,4543,H8,Heart-bulbus arteriosus
2666,63215,PSTOCK16,4587,D8,Heart-bulbus arteriosus
2666,63215,PSTOCK16,4620,A9,Heart-bulbus arteriosus
2666,63215,PSTOCK16,4748,B9,Heart-bulbus arteriosus
2666,63215,PSTOCK16,5126,C9,Heart-bulbus arteriosus
2666,63215,PSTOCK16,5244,E9,Heart-bulbus arteriosus
2666,63215,PSTOCK16,5363,F9,Heart-bulbus arteriosus
2666,63215,PSTOCK16,5418,G9,Heart-bulbus arteriosus
2666,63215,PSTOCK16,5540,H9,Heart-bulbus arteriosus
2666,63215,PSTOCK16,5582,A10,Heart-bulbus arteriosus
2666,63215,PSTOCK16,5620,B10,Heart-bulbus arteriosus
2666,63215,PSTOCK16,5657,C10,Heart-bulbus arteriosus
2666,63215,PSTOCK16,5767,D10,Heart-bulbus arteriosus
2666,63215,PSTOCK16,5781,E10,Heart-bulbus arteriosus
2666,63215,PSTOCK16,6466,F10,Heart-bulbus arteriosus
2666,63215,PSTOCK16,6480,G10,Heart-bulbus arteriosus
2666,63215,PSTOCK16,6507,H10,Heart-bulbus arteriosus
2666,63215,PSTOCK16,6920,B11,Heart-bulbus arteriosus
2666,63215,PSTOCK16,6967,C11,Heart-bulbus arteriosus
